,duration_ms,explicit,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
1104,222091,0,0.704,0.558,-7.273,0.0542,0.148,0.0,0.107,0.245,110.444,pop
1121,229573,0,0.62,0.869,-5.252,0.175,0.0181,0.0,0.369,0.76,151.684,pop
1122,210266,0,0.696,0.546,-6.55,0.0414,0.00379,3.8e-06,0.332,0.787,130.002,pop
1124,184573,0,0.799,0.783,-3.896,0.0322,0.0346,0.0186,0.0757,0.586,127.041,pop
1136,237946,0,0.693,0.705,-5.747,0.0665,0.0228,0.0,0.202,0.45,131.951,pop
1137,274600,1,0.54,0.856,-3.966,0.1,0.109,0.0,0.276,0.258,153.071,pop
1140,230746,0,0.649,0.815,-3.796,0.0415,0.00125,4.31e-05,0.671,0.765,126.03,pop
1142,283733,1,0.594,0.946,-4.521,0.452,0.0869,0.0,0.306,0.397,155.826,hip hop
1155,299613,1,0.531,0.803,-3.284,0.0717,0.0796,1.71e-05,0.176,0.221,142.113,hip hop
1160,220706,0,0.578,0.926,-3.689,0.0548,0.00472,0.0127,0.14,0.877,149.976,pop
1165,186851,0,0.753,0.88,-4.689,0.0806,0.087,0.0,0.24,0.794,115.057,hip hop
1166,260253,0,0.587,0.828,-5.108,0.161,0.00327,0.0,0.331,0.494,123.907,pop
1168,165908,1,0.636,0.901,-7.094,0.118,0.119,0.0,0.391,0.836,162.994,hip hop
1176,253306,1,0.634,0.69,-7.804,0.052,0.0771,0.0,0.132,0.645,94.988,pop
1178,189109,0,0.794,0.711,-5.124,0.0699,0.3,0.0,0.0955,0.955,174.915,pop
1185,213413,1,0.563,0.671,-4.788,0.0373,0.0422,0.0,0.36,0.45,91.964,pop
1187,320546,0,0.583,0.768,-6.477,0.041,0.000323,0.0162,0.109,0.357,127.952,pop
1193,202960,1,0.7,0.709,-5.006,0.0838,0.0048,0.0,0.029,0.624,122.019,pop
1194,246587,0,0.349,0.348,-6.142,0.0316,0.726,0.0,0.12,0.0886,74.541,pop
1195,230192,0,0.621,0.82,-4.865,0.0367,0.332,0.0,0.104,0.452,144.905,pop
1198,197577,0,0.597,0.115,-9.217,0.0334,0.82,0.000215,0.111,0.128,111.202,pop
1199,285120,0,0.421,0.407,-7.445,0.0267,0.309,0.000961,0.11,0.161,139.028,pop
1209,219333,1,0.789,0.858,-5.542,0.311,0.127,0.0,0.349,0.775,140.022,hip hop
1210,219546,0,0.716,0.821,-3.435,0.0314,0.0558,0.0,0.0844,0.618,92.997,pop
1217,313786,1,0.716,0.485,-7.745,0.404,0.123,2.69e-05,0.604,0.26,74.132,hip hop
1219,329320,1,0.563,0.496,-9.381,0.406,0.0685,5.8e-05,0.173,0.426,139.993,hip hop
1222,219493,0,0.727,0.937,-2.871,0.286,0.00417,0.0,0.091,0.749,132.067,pop
1227,233478,0,0.726,0.698,-4.165,0.0431,0.049,0.0,0.309,0.867,143.994,pop
1232,216160,0,0.678,0.918,-4.63,0.0355,0.000417,0.0,0.0744,0.769,130.028,pop
1234,350120,1,0.487,0.729,-6.815,0.271,0.0538,4.07e-06,0.44,0.217,91.048,hip hop
1235,212360,0,0.821,0.676,-6.366,0.0547,0.187,0.0001,0.0927,0.559,119.012,pop
1238,231173,1,0.743,0.752,-4.813,0.0414,0.0188,0.0,0.287,0.545,110.015,pop
1239,209440,0,0.376,0.695,-4.782,0.0933,0.135,0.0,0.11,0.302,169.533,pop
1255,171333,0,0.717,0.55,-6.019,0.0519,0.0358,0.00198,0.126,0.331,96.979,pop
1258,219720,0,0.622,0.469,-6.798,0.0363,0.00454,2.25e-06,0.0335,0.679,77.019,pop
1260,247906,0,0.674,0.628,-7.079,0.03,0.00144,0.0,0.0944,0.552,103.998,pop
1263,229466,0,0.571,0.873,-3.382,0.1,0.0811,0.0,0.361,0.613,139.691,pop
1268,250080,0,0.61,0.863,-2.632,0.206,0.186,0.0,0.097,0.508,83.993,pop
1269,227333,0,0.687,0.792,-4.023,0.0353,0.000802,0.0,0.2,0.864,133.962,pop
1273,199986,0,0.726,0.787,-2.494,0.0737,0.009,0.0,0.0596,0.888,124.99,pop
1274,286253,0,0.18,0.636,-6.591,0.0439,0.209,0.000133,0.217,0.39,75.223,pop
1280,195973,0,0.765,0.837,-3.113,0.032,0.00107,1.06e-05,0.0801,0.721,122.028,pop
1283,200186,0,0.658,0.837,-2.063,0.0543,0.0629,0.0,0.0969,0.936,126.015,pop
1290,220946,0,0.514,0.683,-5.099,0.0367,0.0749,2.64e-06,0.392,0.575,159.814,pop
1293,289080,1,0.373,0.686,-5.52,0.034,0.128,1.96e-06,0.383,0.189,93.763,pop
1295,205346,0,0.651,0.695,-3.218,0.0487,0.23,0.0,0.144,0.569,123.008,pop
1297,219733,0,0.738,0.875,-3.141,0.127,0.000673,0.000556,0.285,0.538,114.962,pop
1298,257720,0,0.576,0.835,-6.826,0.0486,0.337,0.0,0.082,0.476,150.017,pop
1304,233478,0,0.726,0.698,-4.165,0.0431,0.049,0.0,0.309,0.867,143.994,pop
1308,232146,0,0.733,0.818,-7.222,0.0859,0.0241,0.0,0.0636,0.253,116.019,pop
1311,244360,1,0.445,0.537,-8.532,0.04,0.695,1.65e-05,0.0944,0.131,122.769,pop
1321,247853,1,0.63,0.816,-6.535,0.15,0.124,0.00111,0.0616,0.85,128.012,pop
1324,192693,0,0.652,0.783,-4.829,0.0309,0.000189,0.0173,0.0889,0.836,117.952,pop
1325,210840,0,0.504,0.785,-4.802,0.104,0.0738,0.0,0.239,0.502,173.968,pop
1327,227986,0,0.602,0.843,-4.831,0.0593,0.000688,5.27e-05,0.0682,0.526,128.003,pop
1328,250188,1,0.781,0.853,-3.68,0.0715,0.0525,0.0,0.12,0.624,110.049,hip hop
1330,231986,0,0.546,0.787,-4.1,0.0517,0.0101,0.00021,0.0809,0.573,79.979,pop
1331,230733,1,0.457,0.823,-4.76,0.311,0.00144,0.0,0.108,0.578,192.205,pop
1334,188013,1,0.578,0.825,-6.107,0.322,0.000986,0.0,0.176,0.283,130.089,hip hop
1335,214912,0,0.572,0.81,-5.791,0.0558,0.0157,6.53e-06,0.13,0.11,126.052,pop
1336,238746,1,0.739,0.872,-4.059,0.333,0.0217,0.0,0.26,0.684,95.084,hip hop
1342,157293,0,0.489,0.867,-3.121,0.071,0.025,0.0,0.586,0.409,162.131,pop
1343,219720,0,0.622,0.469,-6.798,0.0363,0.00454,2.25e-06,0.0335,0.679,77.019,pop
1348,233786,1,0.853,0.693,-6.87,0.275,0.0239,0.0,0.11,0.662,95.967,hip hop
1349,247906,0,0.674,0.628,-7.079,0.03,0.00144,0.0,0.0944,0.552,103.998,pop
1350,213708,0,0.703,0.867,-4.292,0.0453,0.107,0.0,0.119,0.546,128.008,hip hop
1354,204285,0,0.69,0.636,-6.028,0.0457,0.0203,0.0,0.147,0.8,96.0,pop
1360,228878,0,0.555,0.729,-4.813,0.0387,0.00357,0.0,0.209,0.369,129.003,pop
1364,252106,0,0.474,0.707,-4.534,0.0253,0.0831,0.0,0.162,0.224,83.235,pop
1367,223546,0,0.554,0.772,-4.821,0.0418,0.00487,6.6e-06,0.354,0.455,179.984,pop
1370,338413,1,0.676,0.534,-6.901,0.0831,0.0594,8.59e-06,0.256,0.156,145.082,hip hop
1371,200946,0,0.715,0.872,-3.835,0.0509,0.00351,3.84e-05,0.107,0.748,93.043,pop
1374,200106,0,0.652,0.877,-2.986,0.0465,0.0227,0.0,0.0789,0.486,118.491,pop
1377,221360,0,0.53,0.422,-6.262,0.0342,0.407,0.0,0.107,0.349,119.964,pop
1381,484146,0,0.574,0.512,-6.664,0.0503,0.234,0.0,0.0946,0.512,76.899,pop
1382,178560,1,0.874,0.692,-5.28,0.0431,0.0412,7.24e-05,0.324,0.937,116.017,pop
1384,231240,0,0.613,0.622,-5.794,0.0334,0.00882,0.0,0.37,0.484,80.003,pop
1385,241160,1,0.667,0.61,-7.054,0.217,0.322,0.000203,0.426,0.465,99.991,hip hop
1387,250706,0,0.439,0.489,-6.286,0.0368,0.132,0.000643,0.114,0.253,143.808,pop
1389,238000,0,0.575,0.821,-5.7,0.0527,0.181,0.0,0.124,0.449,118.021,pop
1390,225066,0,0.656,0.674,-5.473,0.0269,0.00242,0.0,0.255,0.369,120.001,pop
1391,235662,1,0.681,0.463,-6.542,0.289,0.128,0.0,0.0769,0.661,82.92,hip hop
1392,214080,1,0.483,0.871,-3.084,0.101,0.015,0.0,0.415,0.716,164.986,pop
1393,232120,0,0.661,0.729,-6.561,0.0376,0.00215,0.0013,0.0477,0.668,103.987,pop
1394,252866,0,0.509,0.538,-7.335,0.0572,0.385,0.0,0.104,0.244,75.089,pop
1395,227026,0,0.645,0.878,-3.208,0.113,0.294,0.0,0.076,0.862,82.324,pop
1397,326280,1,0.795,0.596,-3.799,0.219,0.103,0.0,0.164,0.357,101.985,pop
1398,213826,0,0.612,0.28,-8.648,0.0434,0.932,0.0,0.088,0.387,72.795,pop
1401,215672,0,0.647,0.585,-6.123,0.0512,0.00314,0.0,0.165,0.353,131.934,pop
1404,231013,0,0.279,0.742,-6.46,0.0898,0.000185,0.0,0.593,0.328,189.868,pop
1405,172723,0,0.418,0.42,-6.444,0.0414,0.588,6.39e-05,0.11,0.184,84.094,pop
1407,216120,0,0.399,0.787,-2.88,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089,pop
1410,187920,1,0.807,0.887,-3.726,0.0503,0.0573,2.87e-06,0.124,0.961,134.052,pop
1417,189840,0,0.737,0.723,-5.51,0.0295,0.0179,0.0,0.0675,0.893,120.003,pop
1421,211933,0,0.646,0.794,-6.104,0.19,0.0885,6.16e-06,0.201,0.287,170.216,pop
1432,257386,0,0.663,0.705,-4.972,0.0385,0.0654,0.0,0.117,0.477,122.014,pop
1441,193733,0,0.545,0.783,-4.261,0.0345,0.00489,0.0,0.132,0.551,174.084,pop
1447,214840,0,0.687,0.702,-5.324,0.0455,0.0064,4.35e-05,0.204,0.284,129.956,pop
1451,224226,0,0.719,0.935,-3.752,0.0589,0.167,0.0,0.0973,0.738,120.022,pop
1455,219840,0,0.806,0.608,-7.008,0.0659,0.0113,0.0,0.635,0.849,95.049,pop
1456,236133,0,0.472,0.714,-4.389,0.0334,0.00937,0.0,0.0764,0.24,98.992,pop
1462,231000,0,0.588,0.791,-5.595,0.0402,0.00245,0.00258,0.118,0.487,94.933,pop
1465,193920,0,0.66,0.805,-5.352,0.153,0.0192,8.83e-06,0.159,0.625,103.008,pop
1467,228133,0,0.536,0.768,-5.948,0.0347,0.00433,0.0,0.114,0.545,77.217,pop
1469,227360,0,0.616,0.789,-4.874,0.0377,0.053,0.0,0.142,0.621,83.066,pop
1471,202496,0,0.494,0.951,-4.237,0.132,0.000569,0.0,0.327,0.441,160.025,pop
1473,219200,0,0.647,0.8,-5.384,0.165,0.0647,0.0,0.334,0.942,160.078,pop
1474,226600,0,0.672,0.52,-7.747,0.0353,0.859,0.0,0.115,0.37,120.001,pop
1475,235382,0,0.818,0.67,-4.451,0.0472,0.304,1.22e-06,0.0601,0.939,119.988,pop
1478,198306,0,0.65,0.786,-5.488,0.0463,0.019,0.0,0.323,0.446,124.96,pop
1482,257200,0,0.421,0.791,-4.998,0.0496,0.0117,1.48e-05,0.146,0.499,130.075,pop
1483,245493,0,0.6,0.663,-5.802,0.0477,0.225,0.0,0.119,0.286,121.07,pop
1484,185200,0,0.5,0.292,-8.554,0.0323,0.746,0.0,0.188,0.37,145.879,pop
1486,237626,0,0.719,0.671,-6.279,0.0336,0.0372,8.21e-06,0.12,0.786,130.027,pop
1490,235493,1,0.744,0.783,-7.077,0.0337,0.0553,0.0,0.086,0.885,120.042,pop
1492,300840,0,0.581,0.0549,-20.514,0.0397,0.559,0.0,0.0718,0.234,152.037,pop
1496,192670,0,0.688,0.841,-5.217,0.179,0.204,0.000295,0.229,0.743,133.912,pop
1499,222213,1,0.685,0.709,-3.578,0.0748,0.0132,0.0,0.452,0.504,93.047,pop
1500,269666,1,0.856,0.609,-7.223,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,pop
1501,281560,0,0.781,0.445,-6.061,0.0295,0.474,0.0,0.184,0.591,78.998,pop
1503,205680,0,0.845,0.567,-8.118,0.0956,0.59,0.00142,0.0811,0.793,125.02,pop
1509,214746,1,0.586,0.613,-5.593,0.0386,0.00441,0.000183,0.0853,0.319,114.101,pop
1510,231826,0,0.76,0.703,-5.412,0.054,0.103,0.0,0.0913,0.57,95.997,pop
1516,208330,1,0.703,0.736,-5.709,0.046,0.186,1.92e-05,0.174,0.274,119.955,pop
1518,200106,0,0.654,0.655,-7.388,0.106,0.0294,0.0,0.139,0.221,170.16,pop
1525,177184,1,0.886,0.427,-10.028,0.145,0.0312,0.00099,0.0906,0.23,108.034,hip hop
1528,224573,0,0.884,0.765,-3.865,0.0882,0.063,7.04e-06,0.118,0.594,99.987,pop
1530,167065,0,0.656,0.627,-6.627,0.0379,0.343,2.17e-05,0.124,0.481,99.933,pop
1535,220440,0,0.553,0.664,-7.417,0.0741,0.0709,0.0056,0.106,0.467,140.06,pop
1541,192120,0,0.73,0.703,-5.672,0.0369,0.109,0.0,0.0657,0.595,138.113,pop
1544,205745,1,0.594,0.749,-6.251,0.0677,0.00188,0.000139,0.0869,0.344,130.064,pop
1545,270589,0,0.583,0.785,-3.991,0.0337,0.0012,0.0127,0.124,0.355,91.977,pop
1546,229080,0,0.672,0.593,-4.01,0.0304,0.0223,0.0,0.214,0.438,98.02,pop
1549,185131,0,0.819,0.768,-8.522,0.134,0.234,0.0,0.334,0.964,139.982,hip hop
1555,257573,1,0.536,0.486,-11.067,0.0346,0.244,0.00788,0.12,0.0968,131.988,pop
1559,217906,0,0.757,0.884,-5.488,0.0404,0.00795,5.87e-05,0.0973,0.398,120.012,pop
1560,280757,0,0.383,0.43,-8.644,0.0302,0.817,1.04e-06,0.0869,0.174,107.005,pop
1562,236133,0,0.472,0.714,-4.389,0.0334,0.00937,0.0,0.0764,0.24,98.992,pop
1566,227480,0,0.509,0.671,-5.709,0.0678,0.304,0.0,0.0452,0.55,118.413,pop
1569,221560,1,0.6,0.676,-6.447,0.0652,0.154,0.0,0.0741,0.217,88.928,pop
1572,231000,0,0.588,0.791,-5.595,0.0402,0.00245,0.00258,0.118,0.487,94.933,pop
1574,278987,0,0.261,0.302,-8.19,0.0339,0.769,2.57e-06,0.0863,0.0883,81.418,pop
1581,206880,0,0.746,0.754,-6.684,0.0676,0.0152,0.0,0.0486,0.746,149.882,pop
1583,227373,0,0.616,0.789,-4.874,0.0377,0.053,0.0,0.142,0.621,83.066,pop
1593,200786,0,0.654,0.76,-3.669,0.045,0.0797,0.0,0.299,0.41,99.945,pop
1594,197266,0,0.628,0.593,-5.036,0.0323,0.093,1.65e-06,0.096,0.104,125.026,pop
1595,211773,0,0.777,0.896,-4.467,0.0619,0.0352,0.0,0.317,0.843,111.987,pop
1596,230333,0,0.647,0.823,-5.231,0.0762,0.0598,0.0,0.119,0.396,99.933,pop
1598,182666,0,0.775,0.825,-5.402,0.0464,0.0506,1.03e-06,0.111,0.95,139.091,pop
1602,233720,0,0.609,0.378,-9.828,0.438,0.835,0.0,0.28,0.515,100.418,pop
1607,224813,0,0.592,0.8,-4.931,0.215,0.0561,2.01e-06,0.0775,0.728,89.972,pop
1608,169773,0,0.552,0.689,-6.444,0.0425,0.0915,0.0,0.27,0.349,99.961,pop
1611,200786,0,0.654,0.76,-3.669,0.045,0.0797,0.0,0.299,0.41,99.945,pop
1612,236001,0,0.666,0.83,-5.715,0.0751,0.0123,0.0,0.191,0.702,113.03,pop
1627,213506,0,0.557,0.803,-3.599,0.213,0.0124,1.61e-06,0.737,0.657,92.134,pop
1628,187957,0,0.532,0.868,-4.23,0.0908,0.011,0.0,0.0584,0.529,110.127,pop
1637,226160,1,0.648,0.738,-5.883,0.247,0.0408,0.0,0.292,0.603,159.145,pop
1639,223853,0,0.687,0.761,-4.582,0.0876,0.102,0.0,0.147,0.743,113.939,pop
1640,229080,0,0.672,0.593,-4.01,0.0304,0.0223,0.0,0.214,0.438,98.02,pop
1645,235946,0,0.677,0.604,-5.32,0.0385,0.0612,0.0,0.353,0.297,134.052,pop
1647,217706,0,0.728,0.563,-8.053,0.134,0.621,0.0,0.179,0.352,100.017,pop
1653,244453,0,0.623,0.734,-5.948,0.107,0.0162,1.75e-06,0.145,0.37,107.853,pop
1654,187973,0,0.444,0.819,-4.078,0.341,0.106,0.0,0.107,0.747,82.695,pop
1660,219146,1,0.774,0.753,-5.446,0.0517,0.152,0.0,0.0371,0.896,119.002,pop
1665,214480,0,0.803,0.585,-5.861,0.0432,0.103,3.94e-06,0.0644,0.593,105.017,pop
1672,199133,0,0.696,0.517,-8.379,0.0366,0.364,0.0,0.197,0.23,112.291,pop
1673,234213,0,0.654,0.623,-5.273,0.082,0.253,0.0,0.144,0.401,123.996,pop
1678,215413,0,0.632,0.702,-5.92,0.148,0.0114,0.0,0.108,0.523,162.958,pop
1685,210226,0,0.668,0.725,-6.127,0.266,0.0102,0.000479,0.0561,0.729,191.944,pop
1689,210573,0,0.689,0.791,-5.194,0.053,0.023,0.0,0.0526,0.755,95.04,pop
1691,198236,1,0.464,0.771,-4.503,0.336,0.0235,0.0,0.063,0.69,158.777,hip hop
1696,246240,0,0.773,0.747,-4.061,0.0889,0.0239,8.23e-06,0.11,0.8,126.014,pop
1700,233712,0,0.825,0.652,-3.183,0.0802,0.581,0.0,0.0931,0.931,95.977,pop
1703,201000,0,0.681,0.372,-8.237,0.0432,0.64,0.0,0.169,0.476,91.873,pop
1705,216896,0,0.768,0.517,-4.323,0.0312,0.186,3.8e-05,0.104,0.418,104.992,pop
1707,214265,0,0.783,0.61,-6.124,0.0696,0.343,0.0,0.0983,0.418,100.047,pop
1709,263400,0,0.599,0.448,-6.312,0.0232,0.163,0.0,0.106,0.168,95.05,pop
1715,234308,1,0.697,0.716,-6.288,0.113,0.118,0.0,0.0424,0.506,99.905,pop
1717,231546,1,0.534,0.583,-8.672,0.0288,0.0262,0.0,0.421,0.145,105.997,hip hop
1720,220306,1,0.884,0.347,-8.227,0.35,0.015,7e-06,0.0871,0.376,75.016,hip hop
1729,182706,1,0.732,0.75,-6.366,0.231,0.00264,0.0,0.109,0.401,155.096,hip hop
1731,177184,1,0.886,0.427,-10.028,0.145,0.0312,0.00099,0.0906,0.23,108.034,hip hop
1734,181812,1,0.791,0.582,-7.323,0.286,0.0114,0.0,0.35,0.443,162.991,hip hop
1739,177000,1,0.906,0.625,-6.779,0.0903,0.000243,3.23e-05,0.0975,0.423,150.018,hip hop
1740,186112,0,0.708,0.618,-4.424,0.0592,0.0204,6.81e-06,0.062,0.265,123.013,pop
1741,211475,0,0.774,0.626,-4.432,0.0432,0.0969,3.12e-05,0.0848,0.777,100.041,pop
1746,124055,1,0.936,0.523,-6.71,0.0597,0.239,0.0,0.117,0.699,119.889,hip hop
1747,211853,0,0.766,0.709,-6.471,0.123,0.204,1.41e-05,0.126,0.506,128.07,pop
1749,268186,1,0.497,0.489,-7.724,0.294,0.0576,9.91e-05,0.122,0.231,171.853,hip hop
1750,185946,1,0.636,0.517,-6.759,0.36,0.00402,0.0,0.0874,0.394,139.928,hip hop
1751,209269,1,0.839,0.81,-5.274,0.0568,0.501,0.0,0.117,0.814,129.014,hip hop
1752,119133,1,0.872,0.391,-9.144,0.242,0.469,4.13e-06,0.297,0.437,134.021,hip hop
1758,208186,0,0.613,0.764,-6.509,0.136,0.0527,0.0,0.197,0.417,160.015,pop
1761,199440,0,0.857,0.8,-4.035,0.0583,0.381,0.0,0.0913,0.966,121.996,pop
1763,197640,0,0.538,0.804,-5.194,0.0358,0.0041,0.0,0.33,0.507,144.992,pop
1764,212000,0,0.763,0.72,-5.181,0.0691,0.00261,1.11e-05,0.114,0.592,116.01,pop
1769,220293,1,0.63,0.804,-4.183,0.0363,0.215,0.0,0.253,0.492,123.146,hip hop
1772,237733,0,0.562,0.8,-5.404,0.112,0.0814,0.0,0.199,0.471,95.029,pop
1776,201256,0,0.401,0.872,-3.641,0.314,0.167,0.0,0.362,0.472,104.592,pop
1780,204502,0,0.869,0.485,-5.595,0.0545,0.246,0.0,0.0765,0.527,106.028,pop
1782,189466,0,0.744,0.739,-5.35,0.0387,0.00459,0.0,0.306,0.649,104.99,pop
1788,264011,0,0.499,0.676,-8.618,0.0582,0.588,0.00484,0.358,0.295,99.979,pop
1790,174600,0,0.588,0.749,-4.323,0.058,0.0037,0.0,0.0813,0.397,130.093,pop
1794,208733,0,0.561,0.674,-4.882,0.0818,0.118,0.0,0.111,0.383,148.127,pop
1797,225983,0,0.818,0.803,-4.282,0.0797,0.034,0.0,0.153,0.632,106.97,pop
1801,218146,1,0.585,0.52,-6.136,0.0712,0.124,7.01e-05,0.131,0.129,159.801,hip hop
1805,239835,1,0.511,0.566,-7.23,0.2,0.349,0.0,0.34,0.218,83.903,hip hop
1809,135090,1,0.921,0.537,-5.723,0.0804,0.556,0.00404,0.102,0.711,128.009,hip hop
1810,205920,0,0.699,0.713,-5.507,0.0594,0.04,3.11e-06,0.294,0.354,121.993,pop
1811,183906,1,0.729,0.625,-5.266,0.0315,0.194,0.00986,0.248,0.261,146.034,hip hop
1823,179404,1,0.931,0.387,-9.127,0.412,0.088,0.0,0.136,0.376,125.978,hip hop
1828,166605,1,0.74,0.613,-4.88,0.145,0.258,0.00372,0.123,0.473,75.023,hip hop
1831,157643,1,0.66,0.775,-4.926,0.172,0.0553,0.0,0.129,0.635,157.036,hip hop
1836,232186,1,0.698,0.633,-4.946,0.0597,0.0605,0.000194,0.0926,0.552,96.924,hip hop
1839,197546,1,0.602,0.658,-5.934,0.0558,0.0233,6e-05,0.237,0.268,145.031,pop
1842,156600,0,0.6,0.688,-8.339,0.201,0.159,1.29e-05,0.409,0.0793,99.977,pop
1844,197993,0,0.724,0.804,-4.614,0.0448,0.124,0.0,0.204,0.306,124.987,pop
1849,203417,0,0.596,0.854,-5.114,0.463,0.0169,0.0,0.124,0.152,120.274,pop
1851,245453,0,0.541,0.787,-4.618,0.0331,0.0167,0.0,0.157,0.2,113.0,pop
1853,121886,0,0.669,0.308,-10.068,0.029,0.883,0.0,0.0984,0.52,64.934,hip hop
1856,142273,1,0.963,0.346,-9.309,0.53,0.0355,0.0,0.108,0.562,119.957,hip hop
1860,200853,0,0.845,0.561,-5.253,0.0778,0.211,3.49e-06,0.0383,0.811,109.974,pop
1861,231266,1,0.68,0.578,-5.804,0.04,0.331,0.0,0.135,0.341,145.038,hip hop
1863,221013,1,0.748,0.749,-5.916,0.516,0.142,0.0,0.0713,0.659,90.09,hip hop
1865,196373,1,0.553,0.586,-6.319,0.0362,0.697,0.0,0.0813,0.443,126.684,pop
1866,180493,0,0.856,0.632,-3.692,0.074,0.193,0.0,0.0688,0.697,112.009,pop
1871,186080,0,0.755,0.769,-5.658,0.186,0.314,2.38e-06,0.0628,0.642,114.966,pop
1882,217288,0,0.704,0.859,-4.877,0.0996,0.0185,0.0,0.0215,0.926,105.115,pop
1887,226973,0,0.637,0.713,-4.333,0.0747,0.181,0.000637,0.137,0.243,129.923,pop
1889,217946,1,0.836,0.544,-5.975,0.0943,0.0403,0.0,0.0824,0.51,97.028,pop
1895,235545,1,0.851,0.541,-6.825,0.0505,0.568,0.0,0.13,0.448,124.959,pop
1898,213400,1,0.8,0.585,-7.343,0.0924,0.264,0.0,0.153,0.779,126.058,hip hop
1899,221440,1,0.75,0.56,-8.094,0.105,0.546,0.0,0.111,0.459,140.06,hip hop
1902,190799,0,0.759,0.548,-6.049,0.029,0.0392,0.0,0.0828,0.749,116.967,pop
1903,178626,1,0.778,0.317,-10.732,0.334,0.592,0.0,0.0881,0.327,140.048,pop
1904,157560,0,0.755,0.522,-4.368,0.0575,0.533,0.0,0.0685,0.925,89.96,hip hop
1908,215733,0,0.572,0.385,-6.362,0.0308,0.371,0.0,0.231,0.323,95.799,pop
1909,217466,0,0.601,0.794,-5.844,0.0671,0.00987,1.36e-06,0.388,0.244,114.066,pop
1910,182160,0,0.501,0.405,-5.679,0.0319,0.751,0.0,0.105,0.446,109.891,pop
1913,176631,1,0.894,0.511,-4.768,0.42,0.0251,0.0,0.14,0.568,120.08,hip hop
1914,228759,1,0.861,0.603,-5.788,0.176,0.0521,0.0,0.0924,0.504,98.043,hip hop
1917,189052,0,0.738,0.861,-4.141,0.237,0.318,0.00182,0.325,0.58,131.98,pop
1920,161746,0,0.716,0.823,-5.313,0.0495,0.132,0.0,0.361,0.91,151.957,pop
1923,202192,1,0.641,0.559,-11.132,0.0355,0.404,0.00402,0.0937,0.523,144.982,pop
1925,179449,1,0.791,0.587,-5.075,0.0413,0.407,0.0,0.148,0.536,96.057,hip hop
1927,131240,1,0.745,0.642,-6.257,0.287,0.0204,0.0,0.0658,0.226,179.974,hip hop
1928,252906,1,0.863,0.471,-9.545,0.478,0.251,0.0,0.121,0.644,140.969,pop
1933,149546,1,0.829,0.539,-7.359,0.208,0.136,1.78e-06,0.103,0.388,99.96,hip hop
1934,202333,1,0.786,0.658,-2.61,0.0661,0.0856,0.0,0.0689,0.458,170.037,pop
1935,189486,1,0.581,0.662,-5.239,0.303,0.0153,0.0,0.111,0.434,93.023,hip hop
1941,166560,1,0.772,0.639,-7.119,0.467,0.15,0.0,0.0698,0.261,168.112,hip hop
1942,240050,1,0.685,0.692,-5.122,0.0457,0.328,0.0,0.153,0.578,159.966,hip hop
1943,288624,1,0.837,0.636,-7.643,0.086,0.0395,0.00125,0.342,0.274,145.972,hip hop
1946,207038,0,0.74,0.498,-6.684,0.0456,0.0169,0.00282,0.319,0.652,98.016,pop
1949,190440,1,0.726,0.554,-5.29,0.0917,0.0421,0.0,0.106,0.335,169.999,pop
1950,241293,1,0.812,0.496,-5.969,0.297,0.271,0.0,0.0955,0.55,109.979,hip hop
1951,187436,0,0.719,0.704,-4.724,0.0476,0.0691,0.0,0.166,0.628,133.002,pop
1952,183290,0,0.794,0.793,-4.521,0.0842,0.0125,0.0,0.0952,0.677,123.941,pop
1953,214203,1,0.531,0.581,-5.801,0.101,0.0107,1.62e-05,0.101,0.591,137.776,hip hop
1955,189733,1,0.885,0.762,-5.513,0.216,0.219,0.0,0.162,0.605,138.058,pop
1958,209438,0,0.824,0.588,-6.4,0.0924,0.692,0.000104,0.149,0.513,98.027,pop
1959,186106,1,0.4,0.795,-3.731,0.461,0.119,0.0,0.159,0.702,190.097,pop
1961,183026,0,0.682,0.656,-4.67,0.0435,0.0737,0.0,0.353,0.607,130.089,pop
1963,213593,1,0.837,0.364,-11.713,0.276,0.149,0.0,0.271,0.463,123.984,hip hop
1966,129264,1,0.906,0.382,-12.89,0.269,0.18,0.0,0.113,0.391,104.025,hip hop
1967,163320,1,0.876,0.662,-6.482,0.426,0.0608,0.0,0.127,0.844,75.445,hip hop
1970,229773,0,0.645,0.862,-4.757,0.0965,0.0923,0.0,0.192,0.798,119.991,pop
1972,183000,0,0.795,0.496,-5.883,0.0722,0.108,0.0,0.0645,0.874,94.01,pop
1973,157492,0,0.505,0.428,-5.604,0.221,0.489,0.0,0.0977,0.618,175.813,pop
1975,190066,1,0.554,0.498,-8.866,0.0685,0.23,5.98e-06,0.795,0.413,79.635,hip hop
1984,231266,1,0.68,0.578,-5.804,0.04,0.331,0.0,0.135,0.341,145.038,hip hop
1985,206186,1,0.746,0.787,-6.373,0.12,0.214,0.0,0.0669,0.607,95.005,pop
1990,202204,0,0.477,0.682,-4.931,0.0925,0.153,0.0,0.0763,0.345,110.567,pop
1994,174960,1,0.58,0.653,-3.818,0.0745,0.447,0.0,0.111,0.175,150.231,hip hop
1995,181026,0,0.842,0.734,-5.065,0.0588,0.0427,0.0,0.106,0.952,137.958,pop
